Score: -176.26291, Count: 1
Score: -176.6609, Count: 1
Score: -177.17412, Count: 1
Score: -177.2989, Count: 1
Score: -177.48271, Count: 1
Score: -177.53508, Count: 1
Score: -178.30128, Count: 1
Score: -178.32687, Count: 1
Score: -178.39062, Count: 1
Score: -178.4578, Count: 1
Score: -178.46657, Count: 1
Score: -178.61629, Count: 1
Score: -178.70535, Count: 1
Score: -178.80891, Count: 1
Score: -179.20702, Count: 1
Score: -179.24304, Count: 1
Score: -179.24745, Count: 1
Score: -179.53438, Count: 1
Score: -179.57527, Count: 1
Score: -179.62634, Count: 1
Score: -179.64503, Count: 1
Score: -179.66394, Count: 1
Score: -179.80914, Count: 1
Score: -179.86536, Count: 1
Score: -180.05019, Count: 1
Score: -180.0914, Count: 1
Score: -180.10562, Count: 1
Score: -180.22008, Count: 1
Score: -180.35223, Count: 1
Score: -180.63695, Count: 1
Score: -180.64052, Count: 1
Score: -180.89862, Count: 1
Score: -180.91934, Count: 1
Score: -180.9519, Count: 1
Score: -181.08604, Count: 1
Score: -181.10701, Count: 1
Score: -181.10852, Count: 1
Score: -181.11905, Count: 1
Score: -181.15392, Count: 1
Score: -181.20512, Count: 1
Score: -181.30428, Count: 1
Score: -181.46849, Count: 1
Score: -181.6621, Count: 1
Score: -181.80104, Count: 1
Score: -181.85825, Count: 1
Score: -181.865, Count: 1
Score: -181.98196, Count: 1
Score: -182.0208, Count: 1
Score: -182.04532, Count: 1
Score: -182.13335, Count: 1
Score: -182.31429, Count: 1
Score: -182.3919, Count: 1
Score: -182.77972, Count: 1
Score: -182.84985, Count: 1
Score: -182.8518, Count: 1
Score: -183.02528, Count: 1
Score: -183.07089, Count: 1
Score: -183.17215, Count: 1
Score: -183.22876, Count: 1
Score: -183.3276, Count: 1
Score: -183.49303, Count: 1
Score: -183.52208, Count: 1
Score: -183.55548, Count: 1
Score: -183.57623, Count: 1
Score: -183.62102, Count: 1
Score: -183.78233, Count: 1
Score: -183.92227, Count: 1
Score: -183.99774, Count: 1
Score: -184.23972, Count: 1
Score: -184.2407, Count: 1
Score: -184.33583, Count: 1
Score: -184.4168, Count: 1
Score: -184.58562, Count: 1
Score: -184.59402, Count: 1
Score: -184.69966, Count: 1
Score: -184.7138, Count: 1
Score: -184.75024, Count: 1
Score: -184.91524, Count: 1
Score: -184.96257, Count: 1
Score: -184.9862, Count: 1
Score: -185.11577, Count: 1
Score: -185.21393, Count: 1
Score: -185.2828, Count: 1
Score: -185.34065, Count: 1
Score: -185.53905, Count: 1
Score: -185.56425, Count: 1
Score: -185.60413, Count: 1
Score: -185.63481, Count: 1
Score: -185.77885, Count: 1
Score: -185.87625, Count: 1
Score: -185.96548, Count: 1
Score: -186.00462, Count: 1
Score: -186.05238, Count: 1
Score: -186.08902, Count: 1
Score: -186.10022, Count: 1
Score: -186.13963, Count: 1
Score: -186.26428, Count: 1
Score: -186.32214, Count: 1
Score: -186.32816, Count: 1
Score: -186.3911, Count: 1
Score: -186.39125, Count: 1
Score: -186.41356, Count: 1
Score: -186.46663, Count: 1
Score: -186.55548, Count: 1
Score: -186.67586, Count: 1
Score: -186.73827, Count: 1
Score: -186.74173, Count: 1
Score: -186.77992, Count: 1
Score: -186.84955, Count: 1
Score: -186.85432, Count: 1
Score: -187.09091, Count: 1
Score: -187.13608, Count: 1
Score: -187.18134, Count: 1
Score: -187.22531, Count: 1
