-9/5,10000.0000000000
-30/11,10000.0000000000
-22/13,10000.0000000000
-48/23,10000.0000000000
-49/24,10000.0000000000
81/7,10000.0000000000
25,10000.0000000000
-13/37,10000.0000000000
-12/37,10000.0000000000
-8/17,10000.0000000000
-21/95,10000.0000000000
-7/32,10000.0000000000
-21/26,10000.0000000000
-41/52,10000.0000000000
-17/30,10000.0000000000
5/96,10000.0000000000
-22,10000.0000000000
-43/4,10000.0000000000
5/8,10000.0000000000
-12/13,10000.0000000000
17/26,10000.0000000000
19/29,10000.0000000000
18,10000.0000000000
-35/6,10000.0000000000
-74/13,10000.0000000000
-73/13,10000.0000000000
-46/77,10000.0000000000
-23/39,10000.0000000000
-19/11,10000.0000000000
-5/3,10000.0000000000
59/42,10000.0000000000
58/45,10000.0000000000
29/23,10000.0000000000
29/47,10000.0000000000
31/43,10000.0000000000
-13/5,10000.0000000000
-12/11,10000.0000000000
7/2,10000.0000000000
65/16,10000.0000000000
11/2,10000.0000000000
-17/13,10000.0000000000
91/58,10000.0000000000
-19/3,10000.0000000000
-61/48,10000.0000000000
-57/47,10000.0000000000
-14/13,10000.0000000000
2/31,10000.0000000000
25/32,10000.0000000000
93/26,10000.0000000000
90/67,10000.0000000000
-8/3,10000.0000000000
-4/23,10000.0000000000
-11/48,10000.0000000000
-14/93,10000.0000000000
-25/6,10000.0000000000
-75/11,10000.0000000000
31/11,10000.0000000000
16/7,10000.0000000000
94/35,10000.0000000000
91/36,10000.0000000000
91/34,10000.0000000000
-83/75,10000.0000000000
-81/77,10000.0000000000
61/81,10000.0000000000
65/79,10000.0000000000
-23/5,10000.0000000000
-46/13,10000.0000000000
-49/9,10000.0000000000
86/91,10000.0000000000
93/65,10000.0000000000
92/67,10000.0000000000
-3/20,10000.0000000000
-7/80,10000.0000000000
-15/32,10000.0000000000
-18/35,10000.0000000000
-74/3,10000.0000000000
-28/27,10000.0000000000
-61/57,10000.0000000000
-64/57,10000.0000000000
-56/33,10000.0000000000
20/7,10000.0000000000
-11/67,10000.0000000000
-6/37,10000.0000000000
-22/31,10000.0000000000
-29/48,10000.0000000000
-6/19,10000.0000000000
65/99,10000.0000000000
-76/89,10000.0000000000
-72/85,10000.0000000000
-59/37,10000.0000000000
-62/39,10000.0000000000
-20/13,10000.0000000000
-47/26,10000.0000000000
-48/25,10000.0000000000
-91/46,10000.0000000000
26/35,10000.0000000000
49/71,10000.0000000000
25/37,10000.0000000000
-19/5,10000.0000000000
-37/6,10000.0000000000
-71/18,10000.0000000000
-34/43,10000.0000000000
-30/43,10000.0000000000
-36/7,10000.0000000000
-40/7,10000.0000000000
-10/3,10000.0000000000
28/23,10000.0000000000
-25/64,10000.0000000000
27/5,10000.0000000000
38/9,10000.0000000000
7/19,10000.0000000000
-82/49,10000.0000000000
-83/50,10000.0000000000
-8/9,10000.0000000000
-23/47,10000.0000000000
11/47,10000.0000000000
7/31,10000.0000000000
-17/19,10000.0000000000
-14/15,10000.0000000000
14/51,10000.0000000000
3/13,10000.0000000000
20/13,10000.0000000000
28/17,10000.0000000000
-59/80,10000.0000000000
-17/94,10000.0000000000
11/18,10000.0000000000
3/5,10000.0000000000
53/95,10000.0000000000
53/92,10000.0000000000
29/30,10000.0000000000
27/29,10000.0000000000
32/33,10000.0000000000
5/6,10000.0000000000
-8/5,10000.0000000000
25/78,10000.0000000000
28/81,10000.0000000000
12/7,10000.0000000000
67/14,10000.0000000000
-59/89,10000.0000000000
-64/89,10000.0000000000
37/29,10000.0000000000
68/59,10000.0000000000
-52/95,10000.0000000000
-54/97,10000.0000000000
-8/93,10000.0000000000
-10/91,10000.0000000000
-3/5,10000.0000000000
-7/8,10000.0000000000
79/68,10000.0000000000
38/33,10000.0000000000
41/31,10000.0000000000
97/9,10000.0000000000
99/10,10000.0000000000
-11/12,10000.0000000000
-3/59,10000.0000000000
-1/19,10000.0000000000
-83/54,10000.0000000000
-83/51,10000.0000000000
-83/56,10000.0000000000
-82/53,10000.0000000000
88,10000.0000000000
41,10000.0000000000
-76/13,10000.0000000000
-51/44,10000.0000000000
-50/37,10000.0000000000
-6/5,10000.0000000000
23/39,10000.0000000000
47/79,10000.0000000000
19/42,10000.0000000000
25/39,10000.0000000000
5/16,10000.0000000000
33/94,10000.0000000000
-2/11,10000.0000000000
21/76,10000.0000000000
23/76,10000.0000000000
7/27,10000.0000000000
25/6,10000.0000000000
48/5,10000.0000000000
11/5,10000.0000000000
35/12,10000.0000000000
19/3,10000.0000000000
21/50,10000.0000000000
-39/95,10000.0000000000
-40/93,10000.0000000000
-13/31,10000.0000000000
-18/47,10000.0000000000
62/79,10000.0000000000
19/69,10000.0000000000
37/31,10000.0000000000
11/25,10000.0000000000
18/47,10000.0000000000
7/3,10000.0000000000
104/41,10000.0000000000
